,Pressure,Relative Humidity,Temperature
0,979.65,89.0,23.990000000000002
1,978.95,88.05,23.990000000000002
2,978.65,88.19999999999999,23.595
3,979.55,88.6,23.049999999999997
4,979.55,90.55000000000001,21.975
5,979.75,93.5,22.21
6,979.4,93.69999999999999,22.455
7,979.25,92.25,23.34
8,979.05,86.9,25.729999999999997
9,978.7,78.25,27.42
10,978.4,72.30000000000001,29.93
11,978.05,66.55,31.715
12,977.05,62.8,33.345
13,975.95,57.95,33.94
14,975.2,53.8,36.135000000000005
15,974.45,51.05,35.545
16,974.1500000000001,52.35,34.93
17,974.0,54.45,34.004999999999995
18,974.5999999999999,57.75,32.385000000000005
19,975.75,60.7,29.990000000000002
20,976.3,63.55,29.1
21,976.6500000000001,66.35,28.52
22,978.0,69.0,28.075000000000003
23,979.45,76.44999999999999,23.48
24,978.15,90.45,22.23
25,978.75,91.0,22.37
26,977.85,91.85,22.104999999999997
27,976.8,91.6,21.82
28,977.25,92.4,21.939999999999998
29,977.65,92.7,21.715
30,978.2,93.6,21.735
31,978.75,91.35,23.765
32,979.45,79.85,27.285
33,979.3499999999999,75.6,28.494999999999997
34,979.0,73.3,29.880000000000003
35,978.65,69.25,31.549999999999997
36,977.7,64.85,32.41
37,976.65,59.1,34.245
38,975.7,57.65,34.55
39,974.95,58.400000000000006,34.85
40,974.3499999999999,58.45,34.125
41,974.65,59.7,29.245
42,975.35,65.7,27.68
43,977.25,70.80000000000001,26.655
44,976.6,69.6,24.305
45,977.95,68.15,25.44
46,978.8499999999999,70.15,25.255
47,978.3499999999999,73.05,24.854999999999997
48,977.95,75.9,24.085
49,977.8,80.5,23.52
50,977.4,85.75,23.085
51,977.3499999999999,87.55,22.92
52,977.45,88.25,22.695
53,977.9000000000001,88.35,22.765
54,978.3499999999999,89.80000000000001,22.6
55,978.7,88.3,24.04
56,979.35,87.25,25.5
57,980.1,85.3,27.675
58,979.9,78.95,30.255000000000003
59,979.35,71.15,31.395000000000003
60,978.5999999999999,66.3,32.225
61,977.55,63.6,33.69
62,976.5,62.55,33.21
63,975.55,58.599999999999994,33.864999999999995
64,974.8,57.65,33.955
65,974.7,59.35,32.894999999999996
66,975.9000000000001,61.8,31.945
67,976.95,68.30000000000001,30.545
68,978.0,72.15,29.98
69,978.35,76.25,27.115000000000002
70,978.5,74.1,26.145
71,979.1,76.05,25.395
72,979.1,78.9,24.665
73,978.5,79.7,24.005
74,977.65,81.5,23.555
75,977.25,82.5,23.065
76,977.25,84.9,22.525
77,977.25,85.7,22.585
78,977.65,89.1,22.43
79,978.25,92.5,23.785
80,978.9,91.1,26.22
81,979.1500000000001,81.35,29.130000000000003
82,978.85,75.1,30.22
83,978.15,69.0,31.769999999999996
84,976.95,61.95,33.480000000000004
85,975.85,57.95,34.575
86,974.8,55.3,34.55
87,974.0,55.5,34.955
88,973.3,56.900000000000006,34.085
89,972.9,59.95,32.96
90,973.55,64.1,31.565
91,974.9,68.05,30.695
92,975.75,70.75,29.865000000000002
93,976.95,71.9,29.805
94,977.5999999999999,74.7,29.015
95,979.7,80.2,22.805
96,979.7,94.5,20.82
97,979.2,95.25,20.935000000000002
98,978.2,95.30000000000001,21.15
99,977.9,94.6,21.39
100,977.45,94.25,21.46
101,978.05,96.25,20.865000000000002
102,979.1500000000001,97.1,21.22
103,979.95,96.9,22.560000000000002
104,980.55,94.4,24.835
105,981.15,89.25,25.84
106,981.0,85.69999999999999,27.325
107,980.35,78.2,29.58
108,979.55,73.6,30.08
109,978.0999999999999,68.85,31.485
110,976.9000000000001,65.4,32.629999999999995
111,976.2,60.65,32.975
112,976.1,62.55,32.19
113,976.0,65.95,30.9
114,976.5999999999999,68.30000000000001,29.53
115,977.3,72.1,28.33
116,978.4000000000001,77.1,27.815
117,978.85,78.6,27.625
118,979.6500000000001,79.75,27.134999999999998
119,979.9,83.5,26.28
120,979.05,85.8,25.71
121,979.0,86.55,25.42
122,978.7,88.25,25.055
123,978.2,91.3,24.53
124,978.4,93.69999999999999,24.04
125,978.55,95.2,23.82
126,979.3,96.1,23.75
127,979.75,94.9,24.845
128,980.2,86.30000000000001,26.77
129,980.75,78.8,28.285
130,980.8499999999999,71.65,30.32
131,980.45,65.85,31.895000000000003
132,979.25,60.95,33.51
133,978.2,58.05,33.875
134,977.0999999999999,54.849999999999994,34.879999999999995
135,976.15,54.3,35.25
136,976.05,55.95,34.11
137,976.35,59.5,32.64
138,976.9,65.45,30.85
139,977.65,70.05,29.955
140,978.5999999999999,72.6,29.240000000000002
141,979.45,75.25,28.93
142,979.9,77.44999999999999,28.185000000000002
143,979.8499999999999,81.05000000000001,27.605
144,979.6500000000001,85.15,26.72
145,979.5,88.6,25.965
146,979.05,90.85,25.43
147,978.95,93.15,25.015
148,978.75,93.35,24.8
149,979.15,93.7,24.765
150,979.9,92.6,25.075
151,980.5999999999999,90.25,25.77
152,981.45,87.15,26.62
153,981.9,83.35,27.53
154,981.35,78.15,29.605
155,981.0,72.5,31.17
156,980.3,68.95,31.78
157,979.05,65.25,33.295
158,977.7,60.6,33.885000000000005
159,976.7,60.599999999999994,33.39
160,975.95,60.2,33.585
161,975.9,63.05,32.55
162,976.9000000000001,66.75,31.229999999999997
163,978.15,70.0,30.62
164,979.3499999999999,77.15,25.174999999999997
165,979.55,80.2,25.439999999999998
166,980.8499999999999,81.69999999999999,23.810000000000002
167,983.8,96.5,21.52
168,982.45,98.65,21.33
169,981.0,99.15,21.485
170,981.2,99.2,21.674999999999997
171,979.9000000000001,99.25,21.9
172,979.35,99.4,21.57
173,979.3,99.3,21.45
174,980.3,99.15,21.65
175,980.75,98.69999999999999,22.45
176,981.5999999999999,96.65,24.22
177,981.95,88.1,26.134999999999998
178,982.3499999999999,81.5,27.235
179,981.75,75.75,29.34
180,980.75,68.05000000000001,31.055
181,979.5,63.3,31.985
182,978.25,60.45,33.425
183,977.5,56.7,33.349999999999994
184,977.1,53.2,33.629999999999995
185,977.2,57.0,32.23
186,978.0999999999999,70.75,29.78
187,978.85,77.55000000000001,28.564999999999998
188,979.3,79.9,27.8
189,979.75,81.3,26.785
190,980.1,83.15,25.985
191,980.1,84.4,25.560000000000002
192,979.8,84.69999999999999,25.185000000000002
193,979.0999999999999,86.7,24.88
194,978.75,88.80000000000001,24.53
195,978.6500000000001,90.75,23.93
196,978.55,92.65,23.784999999999997
197,978.8,93.6,23.630000000000003
198,979.45,94.05000000000001,23.59
199,979.95,92.1,25.185000000000002
200,980.55,85.8,26.57
201,980.8499999999999,78.85,29.28
202,980.8,71.55000000000001,30.89
203,980.2,61.95,32.705
204,979.25,56.85,33.730000000000004
205,978.35,51.8,34.825
206,977.3,48.7,35.825
207,976.4000000000001,46.849999999999994,36.05
208,975.75,45.0,36.08
209,975.8,51.05,33.925
210,976.2,59.5,32.095
211,977.2,65.35,30.775
212,977.55,66.85,30.104999999999997
