Line#,Date,Time,Pressure,Rain ,Relative Humidity,Temperature
1,01/01/18,12:00:00 AM,981.1,0,64.8,22.08
2,01/01/18,12:30:00 AM,980.9,0,64.6,21.91
3,01/01/18,01:00:00 AM,980.8,0,65.4,21.8
4,01/01/18,01:30:00 AM,980.6,0,68.9,21.51
5,01/01/18,02:00:00 AM,980.3,0,71.1,21.56
6,01/01/18,02:30:00 AM,979.9,0,66.9,20.79
7,01/01/18,03:00:00 AM,979.5,0,67.1,20.1
8,01/01/18,03:30:00 AM,979.2,0,68.3,19.44
9,01/01/18,04:00:00 AM,979.2,0,68.8,19.63
10,01/01/18,04:30:00 AM,979.2,0,64.9,19.27
11,01/01/18,05:00:00 AM,979.4,0,64.2,19.17
12,01/01/18,05:30:00 AM,979.5,0,62.4,19.2
13,01/01/18,06:00:00 AM,979.7,0,62,19.2
14,01/01/18,06:30:00 AM,979.9,0,62.5,18.56
15,01/01/18,07:00:00 AM,980.2,0,63.5,19.13
16,01/01/18,07:30:00 AM,980.5,0,61.6,20.29
17,01/01/18,08:00:00 AM,980.7,0,57.5,21.1
18,01/01/18,08:30:00 AM,981,0,51.3,22.44
19,01/01/18,09:00:00 AM,981.2,0,41.6,23.45
20,01/01/18,09:30:00 AM,981.1,0,36.1,25.16
21,01/01/18,10:00:00 AM,981.1,0,32.2,26.11
22,01/01/18,10:30:00 AM,980.9,0,31.3,26.65
23,01/01/18,11:00:00 AM,980.7,0,32.6,27.65
24,01/01/18,11:30:00 AM,980.1,0,31.8,28.77
25,01/01/18,12:00:00 PM,979.6,0,30.1,30.29
26,01/01/18,12:30:00 PM,979.1,0,27.5,31
27,01/01/18,01:00:00 PM,978.5,0,24.7,32.33
28,01/01/18,01:30:00 PM,977.9,0,24.2,33.34
29,01/01/18,02:00:00 PM,977.4,0,24.2,33.08
30,01/01/18,02:30:00 PM,976.9,0,24,33
31,01/01/18,03:00:00 PM,976.5,0,23.9,33.47
32,01/01/18,03:30:00 PM,976.4,0,24.4,33.16
33,01/01/18,04:00:00 PM,976.4,0,26.9,32.43
34,01/01/18,04:30:00 PM,976.5,0,27.1,32.07
35,01/01/18,05:00:00 PM,976.7,0,27.1,31.51
36,01/01/18,05:30:00 PM,976.9,0,28.6,30.02
37,01/01/18,06:00:00 PM,977.3,0,31.7,28.1
38,01/01/18,06:30:00 PM,977.6,0,35.5,25.65
39,01/01/18,07:00:00 PM,978,0,41.6,25.36
40,01/01/18,07:30:00 PM,978.6,0,44.7,25.11
41,01/01/18,08:00:00 PM,979.1,0,46.3,25.09
42,01/01/18,08:30:00 PM,979.6,0,46.7,25.62
43,01/01/18,09:00:00 PM,979.9,0,48.1,25.19
44,01/01/18,09:30:00 PM,980,0,51.1,24.73
45,01/01/18,10:00:00 PM,980.2,0,55.2,23.83
46,01/01/18,10:30:00 PM,980.2,0,57.2,24.07
47,01/01/18,11:00:00 PM,980.2,0,60.9,22.66
48,01/01/18,11:30:00 PM,980.2,0,64.7,22.66
49,01/02/18,12:00:00 AM,980.1,0,67,22.44
50,01/02/18,12:30:00 AM,980.1,0,69.9,21.72
51,01/02/18,01:00:00 AM,980.1,0,69.6,21.65
52,01/02/18,01:30:00 AM,979.9,0,66.4,21.34
53,01/02/18,02:00:00 AM,979.7,0,65.1,21.08
54,01/02/18,02:30:00 AM,979.5,0,64.8,20.46
55,01/02/18,03:00:00 AM,979.5,0,66.2,19.56
56,01/02/18,03:30:00 AM,979.4,0,68.1,19.03
57,01/02/18,04:00:00 AM,979.3,0,69.5,18.39
58,01/02/18,04:30:00 AM,979.3,0,66.1,19.46
59,01/02/18,05:00:00 AM,979.5,0,61.4,19.25
60,01/02/18,05:30:00 AM,979.4,0,58.1,19.06
61,01/02/18,06:00:00 AM,979.4,0,56.4,19.29
62,01/02/18,06:30:00 AM,979.6,0,50.2,20.84
63,01/02/18,07:00:00 AM,979.9,0,44.9,20.22
64,01/02/18,07:30:00 AM,980.2,0,49.5,21.06
65,01/02/18,08:00:00 AM,980.4,0,45.6,22.18
66,01/02/18,08:30:00 AM,980.5,0,38.7,23.11
67,01/02/18,09:00:00 AM,980.6,0,36.8,23.66
68,01/02/18,09:30:00 AM,980.4,0,34.8,24.65
69,01/02/18,10:00:00 AM,980.3,0,31.7,25.72
70,01/02/18,10:30:00 AM,980.2,0,30.9,27.21
71,01/02/18,11:00:00 AM,979.9,0,31.4,27.73
72,01/02/18,11:30:00 AM,979.6,0,30.9,29.69
73,01/02/18,12:00:00 PM,979.1,0,29.5,29.71
74,01/02/18,12:30:00 PM,978.5,0,28.6,31.13
75,01/02/18,01:00:00 PM,977.7,0,27.2,31.33
76,01/02/18,01:30:00 PM,976.9,0,24.7,32.43
77,01/02/18,02:00:00 PM,976.4,0,22.9,32.54
78,01/02/18,02:30:00 PM,976,0,22.7,32.98
79,01/02/18,03:00:00 PM,975.8,0,23.1,32.74
80,01/02/18,03:30:00 PM,975.7,0,24.2,32.2
81,01/02/18,04:00:00 PM,975.7,0,26.2,32.02
82,01/02/18,04:30:00 PM,975.8,0,27,31.77
83,01/02/18,05:00:00 PM,976.1,0,27.6,31.08
84,01/02/18,05:30:00 PM,976.2,0,29.4,29.82
85,01/02/18,06:00:00 PM,976.4,0,34.1,28.17
86,01/02/18,06:30:00 PM,976.9,0,35.8,27.14
87,01/02/18,07:00:00 PM,977.3,0,38.8,25.79
88,01/02/18,07:30:00 PM,977.7,0,40.5,25.72
89,01/02/18,08:00:00 PM,978.4,0,41.8,25.33
90,01/02/18,08:30:00 PM,978.8,0,41.2,25.48
91,01/02/18,09:00:00 PM,979.3,0,40.9,25.31
92,01/02/18,09:30:00 PM,979.6,0,42.3,24.85
93,01/02/18,10:00:00 PM,979.8,0,44.9,24.58
94,01/02/18,10:30:00 PM,980.1,0,46.2,23.79
95,01/02/18,11:00:00 PM,980.1,0,48.3,23.71
96,01/02/18,11:30:00 PM,980,0,49.8,23.86
97,01/03/18,12:00:00 AM,980,0,48.8,23.16
98,01/03/18,12:30:00 AM,979.9,0,49.6,23.06
99,01/03/18,01:00:00 AM,979.7,0,49.6,22.63
100,01/03/18,01:30:00 AM,979.4,0,47.5,22.68
101,01/03/18,02:00:00 AM,979.4,0,46.2,22.06
102,01/03/18,02:30:00 AM,979.3,0,48,21.6
103,01/03/18,03:00:00 AM,979.3,0,52.7,21.65
104,01/03/18,03:30:00 AM,979.3,0,53.2,21.03
105,01/03/18,04:00:00 AM,979.3,0,51.4,21.2
106,01/03/18,04:30:00 AM,979.4,0,49.8,21.06
107,01/03/18,05:00:00 AM,979.5,0,50.3,20.56
108,01/03/18,05:30:00 AM,979.7,0,50.7,20.46
109,01/03/18,06:00:00 AM,979.9,0,51.6,19.89
110,01/03/18,06:30:00 AM,980.1,0,51.3,19.96
111,01/03/18,07:00:00 AM,980.4,0,49.4,20.44
112,01/03/18,07:30:00 AM,980.7,0,47.3,21.03
113,01/03/18,08:00:00 AM,981.1,0,45.2,21.84
114,01/03/18,08:30:00 AM,981.3,0,43.8,22.37
115,01/03/18,09:00:00 AM,981.6,0,42.4,23.28
116,01/03/18,09:30:00 AM,981.6,0,36.8,24.58
117,01/03/18,10:00:00 AM,981.5,0,33.6,25.11
118,01/03/18,10:30:00 AM,981.4,0,33.7,26.21
119,01/03/18,11:00:00 AM,981.1,0,30.6,27.06
120,01/03/18,11:30:00 AM,980.7,0,32,27.63
121,01/03/18,12:00:00 PM,980.4,0,31.8,28.72
122,01/03/18,12:30:00 PM,979.9,0,30.2,29.44
123,01/03/18,01:00:00 PM,979.4,0,29.5,29.71
124,01/03/18,01:30:00 PM,978.9,0,28.4,31.1
125,01/03/18,02:00:00 PM,978.4,0,26.7,31.36
126,01/03/18,02:30:00 PM,977.9,0,25.3,31.31
127,01/03/18,03:00:00 PM,977.7,0,24.6,31.64
128,01/03/18,03:30:00 PM,977.5,0,24.2,31.59
129,01/03/18,04:00:00 PM,977.6,0,24.4,31
