,Hour,Day,Month,Load,Pressure,Relative Humidity,Temperature
0,1,1,1,39.7,981.25,42.9,24.485
1,2,1,1,38.8,981.05,45.25,24.12
2,3,1,1,38.1,980.7,50.9,22.62
3,4,1,1,37.7,980.6,55.3,21.435
4,5,1,1,38.9,980.95,60.15,20.51
5,6,1,1,42.5,981.4,60.95,19.76
6,7,1,1,35.6,981.6,61.65,19.745
7,8,1,1,32.5,982.15,53.15,21.535
8,9,1,1,32.4,982.95,45.6,23.92
9,10,1,1,33.3,983.2,38.85,26.805
10,11,1,1,33.7,982.9,32.6,28.765
11,12,1,1,34.7,982.1,26.7,31.945
12,13,1,1,34.8,981.1,21.85,33.145
13,14,1,1,34.9,980.25,21.35,34.745
14,15,1,1,0,979.4,22.25,34.665
15,16,1,1,36.7,979,22.95,34.625
16,17,1,1,36.4,978.85,23.7,33.915
17,18,1,1,37.4,979.35,26.45,32.055
21,19,1,1,46.8,979.85,35.15,28.335
25,20,1,1,47.4,980.6,37.45,27.355
27,21,1,1,34.1,981.4,38.95,26.7
28,22,1,1,23.1,982.1,40.9,25.235
29,23,1,1,23.9,982.5,45.3,23.4
30,24,1,1,23.3,982.3,44.75,23.21
31,1,2,1,23.6,982.3,45.4,23.025
32,2,2,1,23.5,982,48.85,21.545
33,3,2,1,23,981.4,52.7,20.245
34,4,2,1,23.3,981.05,51.75,19.905
35,5,2,1,24,980.9,50.35,19.77
36,6,2,1,24.4,981.3,47.1,20.295
37,7,2,1,24,981.85,52.5,19.32
38,8,2,1,24.1,982.75,60.65,20.04
39,9,2,1,0,983.5,46.55,25.17
40,10,2,1,0,983.8,34.3,26.95
41,11,2,1,9.2,983.6,27.9,28.505
42,12,2,1,9.5,982.75,25.8,30.64
43,13,2,1,9.7,981.85,24.8,31.51
44,14,2,1,0,980.4,21.9,33.875
45,15,2,1,9.8,979.05,20.25,34.665
46,16,2,1,10,978.3,19.85,34.585
47,17,2,1,10.5,978.15,20.6,33.94
48,18,2,1,11.3,978.35,22.7,31.96
52,19,2,1,34.2,978.75,29.35,27.84
56,20,2,1,31.8,979.4,32.55,25.9
58,21,2,1,33.2,980.05,33.7,25.705
59,22,2,1,31.3,980.75,35.55,24.87
60,23,2,1,31.1,980.8,36.9,24.605
61,24,2,1,30.8,980.75,37.75,24.085
62,1,3,1,28,980.4,39.6,23.365
63,2,3,1,27.2,979.95,41.45,22.835
64,3,3,1,26.6,979.7,46.85,20.96
65,4,3,1,26,979.6,47.25,20.91
66,5,3,1,26,979.75,42.95,20.53
67,6,3,1,26.4,980.2,48.5,19.47
68,7,3,1,24.8,980.85,47.45,19.245
69,8,3,1,23.7,981.6,48.15,20.2
70,9,3,1,19.1,982.45,43.85,25.635
71,10,3,1,30.6,982.6,31.95,27.49
72,11,3,1,30.4,982.45,25.5,29.3
73,12,3,1,30.3,981.65,23.95,30.395
74,13,3,1,30.9,980.8,22.95,32.225
75,14,3,1,31.5,979.4,21.95,32.91
76,15,3,1,32.4,977.95,21.25,33.99
77,16,3,1,32.8,977.3,20.75,34.14
78,17,3,1,32.8,977.15,21.15,33.145
79,18,3,1,34.5,977.45,23.1,31.45
83,19,3,1,43.9,977.85,31.4,27.32
87,20,3,1,44,978.7,35,26.145
89,21,3,1,42.2,979.65,39.45,25.005
90,22,3,1,39.3,980.2,42.2,24.53
91,23,3,1,35.9,980.4,44.45,23.365
92,24,3,1,35.2,980.25,48.8,22.87
93,1,4,1,34.8,980.25,54.55,21.76
94,2,4,1,34.2,979.75,53.7,21.675
95,3,4,1,32.6,979.35,57.6,21.38
96,4,4,1,30.2,979.35,58.6,20.63
97,5,4,1,31.3,979.6,58.2,20.4
98,6,4,1,32.3,979.9,66.3,20.46
99,7,4,1,30.2,980.55,81.55,21.46
100,8,4,1,29.9,981.9,87.5,21.045
101,9,4,1,30.5,982.95,91.1,21.83
102,10,4,1,31.5,983.2,89.3,25.145
103,11,4,1,31.4,982.75,52.7,28.25
104,12,4,1,31.4,982,32.2,30
105,13,4,1,30.6,980.8,26.65,31.615
106,14,4,1,30.2,979.7,22.9,32.225
107,15,4,1,31.1,978.7,21.85,32.74
108,16,4,1,31.4,978,20.3,33.065
109,17,4,1,31.7,978.1,20.15,32.43
110,18,4,1,34,978.6,23.2,30.065
114,19,4,1,43.2,979.4,28.8,27.285
118,20,4,1,44.2,980.25,28.8,26.525
120,21,4,1,43.2,981.1,31.45,25.31
121,22,4,1,39.4,981.8,29.45,25.405
122,23,4,1,35.2,982,31.2,24.035
123,24,4,1,32.7,981.85,34.6,23.06
