Line#,Date,Time,speed,Pressure,Rain,Humidity,dew,solar,water,wind dir,wind speed,Temperature
1,02/16/17,03:00:00 PM,4.2,976.8,0,42,19.61,444,0.0933,154,1.1,34.36
2,02/16/17,03:30:00 PM,4.9,976.5,0,40,19.16,338,0.0933,45,1.1,34.73
3,02/16/17,04:00:00 PM,4.6,976.2,0,39.4,18.61,109,0.0933,45,1.1,34.39
4,02/16/17,04:30:00 PM,4.2,976.1,0,40,18.92,126,0.0933,46,0.8,34.47
5,02/16/17,05:00:00 PM,3.4,976.2,0,39.1,18.63,84,0.0925,100,0.8,34.55
6,02/16/17,05:30:00 PM,3,976.4,0,37.8,18.02,58,0.0925,108,0.4,34.47
7,02/16/17,06:00:00 PM,4.2,976.5,0,38,17.36,22,0.0918,108,0.4,33.63
8,02/16/17,06:30:00 PM,0.8,976.8,0,40.3,16.91,1,0.0918,117,0,32.07
9,02/16/17,07:00:00 PM,0,977,0,43.5,17.29,1,0.0911,136,0,31.15
10,02/16/17,07:30:00 PM,0,977.4,0,44.8,17.3,1,0.0904,136,0,30.65
11,02/16/17,08:00:00 PM,0,978.1,0,44.2,16.77,1,0.0904,136,0,30.29
12,02/16/17,08:30:00 PM,2.3,978.6,0,42.4,16.14,1,0.0896,136,0,30.32
13,02/16/17,09:00:00 PM,1.9,978.9,0,45.3,17,1,0.0896,136,0,30.12
14,02/16/17,09:30:00 PM,0,979.4,0,44.3,16.24,1,0.0896,136,0,29.66
15,02/16/17,10:00:00 PM,0.4,979.8,0,45.1,16.11,1,0.0889,135,0,29.21
16,02/16/17,10:30:00 PM,3,979.9,0,44,16.49,1,0.0896,115,0,30.07
17,02/16/17,11:00:00 PM,6.1,980.1,0,44.7,15.25,1,0.0896,147,0.8,28.42
18,02/16/17,11:30:00 PM,4.2,980.3,0,64.2,20.11,1,0.0889,195,1.1,27.46
19,02/17/17,12:00:00 AM,3.8,980,0,72.5,21.55,1,0.0882,195,0.4,26.89
