,Pressure,Humidity,Temperature
0,982.25,94.6,
1,981.9,95.35,
2,981.4,95.95,
3,981.45,96.4,
4,981.7,96.8,
5,981.8,97,
6,981.75,96.9,
7,982.25,96.45,
8,982.85,94.45,
9,983.05,90.15,
10,982.9,85.75,
11,982.75,81.45,
12,981.85,79.15,
13,980.65,74.65,
14,980,73.4,
15,979.15,75,
16,978.75,75.45,
17,978.95,79.35,
18,979.3,82.75,
19,979.95,85.15,
20,980.3,87.4,
21,981,88.8,
22,981.75,90.1,
23,981.9,90.65,
24,981.5,91.05,
25,981.3,93,
26,981,93.4,
27,980.85,93.65,
28,981,94.95,
29,981.35,96.15,
30,982.05,96.6,
31,982.2,97.3,
32,982.75,97.35,
33,983.25,94.85,
34,983.55,92.1,
35,983.3,87.45,
36,982.25,82.1,
37,981.3,79,
38,980.6,81.2,
39,980.15,81.4,
40,979.5,79.75,
41,979.35,78.85,
42,979.85,83,
43,980.25,86.7,
44,980.65,89,
45,981.9,90.05,
46,982.4,91.2,
47,982.75,91.95,
48,982.85,93.15,
49,982.55,94.3,
50,982.15,94.55,
51,982.25,94.5,
52,982.6,94.45,
53,983.2,96.25,
54,983.3,97.8,
55,983.25,98.35,
56,983.4,98.4,
57,983.6,96.55,
58,983.4,90.35,
59,983,88.15,
60,982.6,87.5,
61,982.15,84.65,
62,981.4,80.4,
63,980.8,81.35,
64,980.5,81.15,
65,980.35,87.4,
66,980.8,87.4,
67,981.35,90.25,
68,982,92,
69,982.65,95.15,
70,983.45,95.65,
71,984,96.3,
72,983.85,97,
73,983.25,97.15,
74,982.9,97.3,
75,982.7,96.75,
76,982.65,96.9,
77,982.95,97,
78,983.3,97.1,
79,984,96.9,
80,984.45,95.6,
81,984.5,91.7,
82,984,85,
83,983.45,81.15,
84,983,78.7,
85,982.15,76.75,
86,981.35,74.15,
87,981.05,74.65,
88,980.6,73.85,
89,980.7,74.8,
90,981.1,80.25,
91,981.3,84.8,
92,982.1,87.5,
93,982.9,89.8,
94,983.5,90.6,
95,984,90.35,
96,983.9,91.2,
97,983.3,92.75,
98,983.05,93.7,
99,982.8,94.3,
100,982.55,94.95,
101,982.95,96.2,
102,983.5,96.6,
103,984.15,96.45,
104,984.65,94.55,
105,984.75,91.15,
106,984.7,88.1,
107,984.15,86.75,
108,983.05,82.05,
109,982,76.65,
110,981.25,74.55,
111,980.85,73.7,
112,980.55,76.5,
113,980.5,78.35,
114,980.8,81.8,
115,981.35,85.85,
116,981.9,88,
117,982.6,89.6,
118,982.9,92.5,
119,983.35,93.9,
120,983.2,94.45,
121,982.9,94.55,
122,982.7,94.4,
123,982.5,94.7,
124,982.75,94.75,
125,983,95.65,
126,983.5,96.45,
127,983.95,96.8,
128,984.35,95.05,
129,984.5,87.95,
130,984.6,83.1,
131,984.4,82.3,
132,983.95,79.7,
133,982.95,77.8,
134,982.1,76.75,
135,981.4,72.95,
136,981.15,71.4,
137,981.2,71.85,
138,981.45,77.5,
139,982.15,83.25,
140,982.85,90.55,
141,983.7,93.35,
142,984.35,95.2,
143,984.25,95.6,
144,983.9,93.25,
145,983.7,93.3,
146,983.45,95.25,
147,983.75,97,
148,984.2,97.65,
149,984.75,97.8,
150,985.25,98,
151,985.8,97.9,
152,986.3,97.1,
153,986.55,94.25,
154,986.5,89.7,
155,986.1,87.75,
156,985.3,85.05,
157,984.55,81.6,
158,983.9,77.35,
159,983.35,74.3,
160,982.95,73.8,
161,982.8,72.75,
162,982.9,78.1,
163,983.1,85.8,
164,983.45,88.7,
165,983.9,90.7,
166,984.1,91.8,
167,984.2,93.05,
168,984.05,94.35,
169,983.65,94.95,
170,983.15,95.35,
171,983.25,95.65,
172,983.25,95.5,
173,983.8,95.15,
174,984.65,95.95,
175,985.1,96.5,
176,985.55,95.05,
177,985.5,90,
178,985.3,83.8,
179,984.9,78.45,
180,984.3,73.9,
181,983.5,74.5,
182,982.85,71.05,
183,982.4,74.25,
184,981.95,75.4,
185,981.9,78.25,
186,982.1,83.7,
187,982.55,87.35,
188,983.2,89.35,
189,983.7,90,
190,984.35,90.5,
191,984.65,91.25,
192,984.45,92.05,
193,984.05,93.05,
194,983.9,94.35,
195,983.8,95.15,
196,983.8,95.7,
197,984,95.45,
198,984.4,94.9,
199,984.8,94,
200,985.25,92.7,
201,985.5,92.1,
202,985.45,90.8,
203,985.1,87.7,
204,984.65,85.75,
205,983.8,85.4,
206,982.85,83.4,
207,981.95,81.6,
208,981.75,81.5,
209,981.75,83.25,
210,982.05,85.05,
211,982.75,88.75,
212,983.4,92.3,
213,984.2,93.4,
214,984.5,94.5,
215,984.45,95.3,
216,984.25,95.55,
217,983.75,96.15,
218,983.5,96.65,
219,983.4,96.55,
220,983.8,96.6,
221,984.4,96.4,
222,985.05,95.85,
223,985.7,94.9,
224,986.25,92.1,
225,986.5,86.55,
226,986.3,78.65,
227,986,75.8,
228,985.5,73.25,
229,984.7,74.15,
230,983.8,72.6,
231,982.7,69.2,
232,981.95,65.15,
233,981.75,66.7,
234,981.95,72.2,
235,982.25,77.9,
236,982.7,81.05,
237,983.45,84.3,
238,983.8,85.9,
239,983.85,87.5,
240,983.5,89.15,
241,983.1,92.65,
242,983.05,95.1,
243,983.15,96.4,
244,983.4,96.65,
245,984.1,96.3,
246,984.85,95.5,
247,985.35,94.4,
248,985.8,91.8,
249,985.9,87.4,
250,985.7,82.75,
251,985.1,77.55,
252,984.25,73.05,
253,983.2,68.55,
254,982,65.5,
255,980.95,62.35,
256,980.75,66.55,
257,980.75,67.65,
258,981.1,73.4,
259,981.6,79.05,
260,982.05,83.1,
261,982.7,86.35,
262,983.05,88.9,
263,982.9,90.95,
264,982.75,92.3,
265,982.5,93.55,
266,982.15,94.35,
267,981.9,95.1,
268,982.05,95.35,
269,982.4,95.05,
270,982.8,95.2,
271,983.5,95,
272,984.4,94.35,
273,984.6,89.65,
274,984.2,82.85,
275,983.4,75.85,
276,982.65,76.2,
277,981.95,76.9,
278,981.2,75.85,
279,980.5,75.35,
280,980.05,76.95,
281,979.95,79.9,
282,980.15,82.9,
283,980.6,86.25,
284,981.15,89.3,
285,981.5,91.3,
286,981.75,93.25,
287,981.9,94.2,
288,981.4,95.05,
289,981.25,95.6,
290,981.05,96.35,
291,980.85,96.75,
292,981,96.75,
293,981.05,96.75,
294,981.7,96.65,
295,982.5,96.2,
296,983.25,94.95,
297,983.6,92.6,
298,983.5,89.35,
299,983.05,86.4,
300,982.4,84.55,
301,981.45,82.5,
302,980.6,81.65,
303,979.95,84.6,
304,979.5,86.35,
305,979.25,87.8,
306,979.65,89.9,
307,980.3,92.5,
308,981,94.75,
309,981.85,96.6,
310,982.3,97.8,
311,982.2,98.35,
312,981.7,98.45,
313,981.25,98.35,
314,980.75,97.8,
315,981,97.9,
316,981.55,97.65,
317,982.2,97.6,
318,982.65,97.7,
319,983.45,97.5,
320,984.45,95.35,
321,984.55,91.65,
322,984.2,80.85,
323,983.65,74.65,
324,983,74.2,
325,982.1,71.45,
326,981.15,71,
327,980.45,70.3,
328,980.05,69.55,
329,979.85,73.35,
330,980.1,77.3,
331,980.45,82.4,
332,981.15,86.35,
333,982.05,87.6,
334,982.7,91.25,
335,983.15,93.7,
336,982.9,94.15,
337,982.45,94.85,
338,982.35,94.7,
339,982.5,94.95,
340,982.6,94.75,
341,982.75,95.6,
342,982.95,96.05,
343,983.5,96.05,
344,984.15,93.75,
345,984.2,88.85,
346,984.1,87.7,
347,983.8,84.4,
348,983,75.55,
349,981.95,69.15,
350,981.1,65.85,
351,980.9,67.95,
352,980.7,63.9,
353,980.65,63.55,
354,980.6,72,
355,980.55,78.75,
356,980.65,83.4,
357,981.25,85.25,
358,981.9,86.15,
359,982.2,89.1,
360,982.05,93.35,
361,981.85,95.05,
362,981.9,95.4,
363,982.2,95.35,
364,982.05,96.15,
365,982.55,96.55,
366,982.95,96.15,
367,983.25,94.55,
368,983.7,89.95,
369,983.55,85.7,
370,983.35,84.1,
371,982.9,82.2,
372,982.5,79.55,
373,981.55,75.75,
374,980.9,74.15,
375,979.9,71.8,
376,978.95,69.2,
377,978.9,70.05,
378,979.3,75.8,
379,979.5,81.8,
380,979.85,85.15,
381,980.85,87.6,
382,981.55,89.3,
383,981.95,90.5,
384,981.9,93.95,
385,981.7,95.6,
386,981.2,96,
387,980.85,95.9,
388,981.15,95.6,
389,981.6,95.55,
390,982.05,95.2,
391,982.55,95.9,
392,983.1,94.7,
393,983.45,91.65,
394,983.25,87.45,
395,982.8,83.8,
396,981.75,78.15,
397,980.55,72.8,
398,979.6,69.25,
