Pressure,Relative Humidity,Temperature
981.25,42.9,24.485
981.05,45.25,24.12
980.7,50.9,22.62
980.6,55.3,21.435
980.95,60.15,20.51
981.4,60.95,19.76
981.6,61.65,19.745
982.15,53.15,21.535
982.95,45.6,23.92
983.2,38.85,26.805
982.9,32.6,28.765
982.1,26.7,31.945
981.1,21.85,33.145
980.25,21.35,34.745
979.4,22.25,34.665
979,22.95,34.625
978.85,23.7,33.915
979.35,26.45,32.055
979.85,35.15,28.335
980.6,37.45,27.355
981.4,38.95,26.7
982.1,40.9,25.235
982.5,45.3,23.4
982.3,44.75,23.21
982.3,45.4,23.025
982,48.85,21.545
981.4,52.7,20.245
981.05,51.75,19.905
980.9,50.35,19.77
981.3,47.1,20.295
981.85,52.5,19.32
982.75,60.65,20.04
983.5,46.55,25.17
983.8,34.3,26.95
983.6,27.9,28.505
982.75,25.8,30.64
981.85,24.8,31.51
980.4,21.9,33.875
979.05,20.25,34.665
978.3,19.85,34.585
978.15,20.6,33.94
978.35,22.7,31.96
978.75,29.35,27.84
979.4,32.55,25.9
980.05,33.7,25.705
980.75,35.55,24.87
980.8,36.9,24.605
980.75,37.75,24.085
980.4,39.6,23.365
979.95,41.45,22.835
979.7,46.85,20.96
979.6,47.25,20.91
979.75,42.95,20.53
980.2,48.5,19.47
980.85,47.45,19.245
981.6,48.15,20.2
982.45,43.85,25.635
982.6,31.95,27.49
982.45,25.5,29.3
981.65,23.95,30.395
980.8,22.95,32.225
979.4,21.95,32.91
977.95,21.25,33.99
977.3,20.75,34.14
977.15,21.15,33.145
977.45,23.1,31.45
977.85,31.4,27.32
978.7,35,26.145
979.65,39.45,25.005
980.2,42.2,24.53
980.4,44.45,23.365
980.25,48.8,22.87
980.25,54.55,21.76
979.75,53.7,21.675
979.35,57.6,21.38
979.35,58.6,20.63
979.6,58.2,20.4
979.9,66.3,20.46
980.55,81.55,21.46
981.9,87.5,21.045
982.95,91.1,21.83
983.2,89.3,25.145
982.75,52.7,28.25
982,32.2,30
980.8,26.65,31.615
979.7,22.9,32.225
978.7,21.85,32.74
978,20.3,33.065
978.1,20.15,32.43
978.6,23.2,30.065
979.4,28.8,27.285
980.25,28.8,26.525
981.1,31.45,25.31
981.8,29.45,25.405
982,31.2,24.035
981.85,34.6,23.06
981.9,37.8,22.03
981.6,39.5,21.33
980.7,41.95,20.425
980.45,45.55,19.39
980.75,47.2,18.9
980.8,48.45,18.915
981.2,45.75,18.77
981.75,41.45,20.535
982.45,38.1,22.175
982.65,35.3,24.68
982.3,28.15,28.065
981.75,25.2,30.37
980.7,21.45,32.265
979.6,19.35,33.495
978.2,17.9,33.81
977.7,17.6,34.005
977.75,17.3,33.22
978.2,20,31.06
978.9,27,27.3
979.65,27.35,27.7
980.4,25.7,27.22
980.8,26.75,26.73
980.7,29.6,25.345
980.7,35.45,25.695
980.75,38.55,24.825
980.65,42.65,23.59
980,40.15,22.635
980.05,38.4,21.37
980.15,37.3,21.65
980.55,35.55,21.82
980.85,34.45,21.805
981.75,35.05,21.975
982.15,31.7,25.62
982.05,24.85,26.625
981.45,25.05,27.62
980.75,24.25,29.79
979.95,22.3,31.855
978.95,20.25,32.82
977.85,21.35,33.535
977.05,23.6,33.155
976.9,23.5,32.835
977.25,26.55,30.825
978.1,32.75,27.48
979.05,32.8,26.34
979.95,36.1,25.71
980.3,38.75,25.215
980.3,36.7,25.685
980.4,39.2,24.5
980.9,46.65,22.645
980.5,48.4,22.465
980.3,42.15,23.06
980.55,44.65,20.485
980.45,48.8,19.785
980.45,45,20.105
980.75,41.7,19.57
981.3,43.6,20.725
981.85,39.35,24.195
981.75,34.45,25.725
981.55,28.75,28.33
980.9,24.7,29.265
980.05,23.9,31.55
978.85,21.4,32.99
977.7,19.6,33.29
977.15,18.9,33.89
977.05,19.65,33.21
977.35,21.8,31.26
978,27.5,28.12
978.95,30,26.585
979.75,29.35,26.485
