,Pressure,Humidity,Temperature
0,982.7,90.6,
1,982.4,93.8,
2,982,95.35,
3,981.75,95.5,
4,981.85,95.35,
5,982.1,95.45,
6,982.35,96.2,
7,982.85,96,
8,983.55,91.4,
9,983.9,86.65,
10,984,84.65,
11,983.7,83.9,
12,983,79.45,
13,982.15,76.7,
14,981.15,71.4,
15,980.25,68.6,
16,979.35,70.25,
17,979.2,74,
18,979.45,77.1,
19,979.75,83.05,
20,980.3,86.1,
21,980.8,88.85,
22,981.2,90.85,
23,981.35,92.55,
24,981.5,93.55,
25,981,93.55,
26,980.4,94.7,
27,980.8,94.8,
28,980.75,95.6,
29,981.3,96.65,
30,981.9,97,
31,981.5,97.75,
32,981.15,98,
33,981.4,96.35,
34,981.3,89.3,
35,980.45,83.8,
36,979.8,76.15,
37,979.35,73.65,
38,978.35,70.45,
39,977.25,68,
40,976.5,68.15,
41,976.55,71.1,
42,976.85,75.9,
43,977.2,83.45,
44,977.8,85.7,
45,978.3,85.05,
46,978.9,87.9,
47,979.25,89.2,
48,979.45,93.4,
49,979.35,95.1,
50,979.15,95.5,
51,979.25,95.7,
52,979.45,95.5,
53,979.55,96.05,
54,980.2,96.3,
55,981.1,96.35,
56,981.7,94.95,
57,981.95,89.05,
58,981.75,83.25,
59,981.1,78.6,
60,980.15,73.1,
61,979.45,72.1,
62,978.6,66.4,
63,977.85,66.8,
64,977.45,63.3,
65,977.45,65.25,
66,977.75,74.1,
67,978.5,81.25,
68,979.1,83.05,
69,979.75,83.8,
70,980.6,86.95,
71,980.55,91.55,
72,980.6,93.9,
73,980.25,95.4,
74,980.2,96.05,
75,979.9,96.25,
76,980,96.8,
77,980.65,96.55,
78,981.25,95.55,
79,981.7,93.95,
80,982.7,91.2,
81,983.2,88.8,
82,982.95,86.55,
83,982.4,81.35,
84,981.8,78.9,
85,980.65,77.4,
86,979.9,82.55,
87,979.75,90.55,
88,980.7,95.85,
89,980.25,96.6,
90,979.35,96.95,
91,980.3,97.7,
92,981.4,98.5,
93,981.75,98.55,
94,982.05,98.65,
95,982.1,98.75,
96,982,98.9,
97,981.75,99,
98,981.65,99,
99,981,99.25,
100,981.2,99.25,
101,981.7,99.3,
102,981.6,99.5,
103,982.1,99.45,
104,982.75,98.55,
105,983.2,95.85,
106,983.2,90.55,
107,982.85,86.8,
108,982.4,83.85,
109,981.65,80.45,
110,981.15,74.85,
111,980.55,75.6,
112,980.1,74.35,
113,979.95,74.9,
114,980.45,79.15,
115,980.95,84.5,
116,981.45,89.75,
117,981.85,92.25,
118,982.5,92.9,
119,982.45,92.95,
120,982.25,94.25,
121,982.25,95.45,
122,982.1,96.05,
123,982.05,96.4,
124,981.8,96.7,
125,981.9,97.1,
126,982.1,97.45,
127,982.35,96.85,
128,982.75,95.55,
129,982.8,93.25,
130,982.7,90.5,
131,982.2,85.75,
132,981.85,82.85,
133,981.25,79.75,
134,980.75,79.35,
135,980.1,79.8,
136,979.6,79.75,
137,979.55,83.8,
138,980.15,88.85,
139,980.85,91.7,
140,981.6,93.75,
141,982.35,93.85,
142,982.6,94.1,
143,983.05,94.9,
144,982.85,94.65,
145,982.5,94.75,
146,981.95,95.55,
147,981.9,96.2,
148,982.05,96.25,
149,982.1,95.95,
150,982.5,96.25,
151,983.05,96.15,
152,983.1,93.15,
153,983.2,89.55,
154,982.95,86.85,
155,982.6,84.65,
156,981.95,81.3,
157,981.35,80.25,
158,980.45,76.5,
159,979.7,73.4,
160,979.25,73.65,
161,979.1,76.3,
162,979.25,80.55,
163,979.55,86,
164,979.85,88.95,
165,980.7,90.55,
166,981.55,91.95,
167,982,93.35,
168,981.8,93.7,
169,981.6,94.35,
170,981.35,95.3,
171,981.15,96.05,
172,981.2,96,
173,981.7,95.4,
174,981.95,95.55,
175,982.1,95.4,
176,982.8,94,
177,983.35,90.5,
178,983.55,87.05,
179,983.45,85.35,
180,982.9,78.2,
181,982.2,76.75,
182,981.6,78.6,
183,980.95,75.35,
184,981.15,80.7,
185,981.65,96.7,
186,982.2,97.8,
187,982.95,97.65,
188,983.45,97.6,
189,984.05,97.5,
190,984.55,97.6,
191,984.1,98,
192,983.45,98.2,
193,983.25,98.45,
194,983.2,98.7,
195,983.05,98.75,
196,983.1,98.85,
197,983.55,98.95,
198,984.15,99.1,
199,984.5,99.15,
200,984.6,98.25,
201,984.6,95.05,
202,984.75,94.1,
203,984.4,91.6,
204,984.15,89.2,
205,983.35,84.8,
206,982.9,83.9,
207,982.4,83.5,
208,982.3,83.6,
209,982.35,84.8,
210,982.8,87.05,
211,983,90.1,
212,983.3,92.1,
213,983.5,93.85,
214,983.95,95.55,
215,983.8,97.65,
216,982.9,98.45,
217,982.5,98.9,
218,982,99.1,
219,982,99.25,
220,982.05,99,
221,982.55,98.6,
222,983.2,97.9,
223,983.85,97.75,
224,984.15,96.65,
225,984.2,93.45,
226,984.2,91.7,
227,983.75,89.2,
228,983.3,85.4,
229,982.9,84.6,
230,982.4,85.35,
231,981.95,85.4,
232,981.55,85.55,
233,981.5,84.5,
234,981.95,86.2,
235,982.35,90.1,
236,982.95,93.1,
237,983.2,95.1,
238,983.4,96.2,
239,983.45,96.3,
240,983.1,95.75,
241,982.4,96,
242,982,96.8,
243,981.95,97.35,
244,982.15,97.6,
245,982.35,97.3,
246,982.8,97.2,
247,983.15,97.05,
248,983.8,96.05,
249,983.95,93.25,
250,983.95,90.95,
251,983.75,87.55,
252,983.05,82.75,
253,982.3,80.35,
254,981.65,77.6,
255,980.85,74.8,
256,980.4,75.1,
257,980.45,75.45,
258,980.85,81.85,
259,981.35,87.15,
260,981.35,89.5,
261,981.8,91.45,
262,982.25,94.6,
263,982.3,95.8,
264,981.85,96,
265,981.6,96.35,
266,981.3,96.9,
267,981.3,96.85,
268,981.35,96.25,
269,982,95.85,
270,982.7,95.9,
271,983.6,96.35,
272,984.25,96.7,
273,984.35,97.7,
274,984.15,98.15,
275,983.85,98.25,
276,983.1,95.8,
277,982.5,89.85,
278,981.55,86.95,
279,980.7,81.85,
280,980.2,81.85,
281,979.95,81.85,
282,980.45,85.2,
283,981.15,90.8,
284,981.7,92.9,
285,982.5,94.1,
286,982.7,95.15,
287,983.25,95.5,
288,982.9,96.85,
289,982.2,97.7,
290,981.5,98.05,
291,981.55,98.15,
292,981.7,98,
293,981.8,98.05,
294,982.35,98.4,
295,983.25,98.4,
296,984,97.05,
297,984.1,92.35,
298,983.8,85.05,
299,983.25,80.45,
300,982.5,76.1,
301,981.7,73.95,
302,981.1,80.35,
303,980.6,77.95,
304,980.5,85.9,
305,980.25,88.2,
306,980.6,89.85,
307,981.45,92.35,
308,982.2,93.95,
309,982.9,95.05,
310,983.4,95.4,
311,983.7,96.45,
312,983.25,97.3,
313,983,97.8,
314,982.5,98.15,
315,982.6,98.4,
316,982.95,98.45,
317,983.1,98.7,
318,983.45,98.65,
319,983.9,98.35,
320,984.25,97.5,
321,984.65,90,
322,984.55,86.2,
323,984.2,86.25,
324,983.35,82.95,
325,982.5,83.05,
326,981.75,82.05,
327,981.05,77.9,
328,980.5,77.2,
329,980.25,76.4,
330,980.4,82.5,
331,980.8,89.05,
332,981.5,92.45,
333,982,94.15,
334,982.3,95.1,
335,982.4,95.7,
336,982,96.3,
337,981.5,96.8,
338,980.85,97.2,
339,980.9,97.6,
340,980.95,98.1,
341,981,98.55,
342,981.2,99.1,
343,982.1,99.55,
344,982.7,99.8,
345,982.85,99.65,
346,982.65,97.6,
347,982.3,89.65,
348,981.3,83,
349,980.4,77.4,
350,979.7,73.7,
351,978.9,73.35,
352,978.4,75.3,
353,978.35,79.8,
354,978.7,83.95,
355,979.1,88.5,
356,979.5,91.9,
357,980.5,92.8,
358,981.05,93.9,
359,981.2,95.1,
360,980.7,96,
361,980.15,96.7,
362,980.2,97.35,
363,980.5,98.2,
364,980.9,98.15,
365,981,97.45,
366,981.4,97.3,
367,981.8,96.6,
368,982.35,92.5,
369,982.3,86.15,
370,982.55,81.45,
371,982.35,80.15,
372,982.05,82.9,
373,981.4,80.85,
374,980.55,76.6,
375,979.9,75.8,
376,979.55,73.05,
