,Pressure,Humidity,Temperature
0,980.35,93.65,
1,979.95,94.95,
2,979.85,94.85,
3,979.45,95.1,
4,979.55,95.6,
5,980.2,95.4,
6,980.45,95,
7,980.65,94.45,
8,981.35,91.4,
9,981.75,86.85,
10,982,83.35,
11,982.45,93.9,
12,981.75,94.2,
13,980.75,96.15,
14,979.6,95.8,
15,978.85,94.25,
16,978.4,93.5,
17,977.75,91.55,
18,977.8,93.3,
19,978.15,95.6,
20,979.5,96.9,
21,980.8,97.45,
22,981.3,98,
23,981.2,98.4,
24,980.9,98.7,
25,980.55,98.8,
26,980.15,98.9,
27,979.85,98.95,
28,980.05,98.95,
29,980.25,99.1,
30,980.9,99.1,
31,981.4,98.8,
32,981.95,97.35,
33,982.3,92.5,
34,982.2,88.6,
35,981.65,83.65,
36,980.75,78,
37,979.55,78.05,
38,978.65,72.1,
39,978.35,70.85,
40,978.3,81.3,
41,978.3,72.8,
42,978.8,78.6,
43,979.3,86.3,
44,980.15,89.8,
45,981.25,92.5,
46,981.8,95.05,
47,981.95,96.65,
48,981.85,97.15,
49,981.25,97.7,
50,981.1,98.2,
51,981.45,98.6,
52,982.05,98.9,
53,982.4,99.05,
54,982.55,99.2,
55,983.05,99.15,
56,984,97.35,
57,984.3,89,
58,984.35,84.5,
59,984.1,77.85,
60,983.1,73.95,
61,981.9,70.1,
62,981,69.65,
63,980.15,66.25,
64,979.5,64.55,
65,979.4,64.45,
66,979.5,72.5,
67,980.05,81.4,
68,981.1,85,
69,981.8,86.1,
70,982.3,89.8,
71,982.5,91.9,
72,982.1,93.45,
73,982,95.1,
74,981.9,95.9,
75,981.85,96.1,
76,981.9,96.55,
77,982.15,96.95,
78,982.5,97.1,
79,983.65,96.95,
80,984.2,97.05,
81,984,94.65,
82,984.65,90.6,
83,984.25,87.05,
84,983.5,85.15,
85,982.65,82.15,
86,981.15,79.25,
87,980.5,74.55,
88,979.8,72.6,
89,979.7,70.75,
90,980,76.95,
91,980.1,83.9,
92,980.4,87.35,
93,981.2,90.25,
94,981.55,92.7,
95,981.75,94.15,
96,981.55,95.2,
97,981.5,95.8,
98,981.4,96.45,
99,980.95,97.05,
100,981.3,97.65,
101,981.7,97.8,
102,982.1,97.7,
103,982.85,97.35,
104,983.35,97.05,
105,983.4,96.55,
106,983.3,93.15,
107,983.1,90.1,
108,982.3,84.5,
109,981.2,78.5,
110,980.3,77.85,
111,980,87.8,
112,979.65,84.05,
113,979.8,85.4,
114,979.85,88.5,
115,980.55,91.95,
116,981.4,92.6,
117,982.05,93.4,
118,982.55,93.75,
119,982.7,94.4,
120,982.35,94.85,
121,981.45,95.75,
122,981,97,
123,981.15,97.5,
124,981.6,97.6,
125,982.45,97.6,
126,982.85,97.55,
127,983.35,97.4,
128,983.65,95.05,
129,983.5,90.4,
130,983.45,87,
131,983.2,83.55,
132,982.65,81.5,
133,981.7,77.1,
134,980.75,76.25,
135,979.8,72.65,
136,979.35,74.45,
137,979.5,80.9,
138,979.65,80.8,
139,980,84.85,
140,980.65,87.75,
141,981.2,89.45,
142,982.15,89.45,
143,982.45,90.95,
144,981.8,93.4,
145,980.85,94,
146,980.35,96.2,
147,980.5,97.2,
148,980.65,97.85,
149,981,98.45,
150,981.75,98.6,
151,982.3,98.6,
152,983.4,97.9,
153,984,95.2,
154,983.8,91.2,
155,983.4,83.5,
156,982.85,81.7,
157,981.6,75.85,
158,980.2,72.35,
159,979.4,68.55,
160,978.85,66.6,
161,979.45,75,
162,980.6,93.3,
163,981.55,96.2,
164,981.95,96.95,
165,982.75,97.75,
166,983.15,98.55,
167,983,99.05,
168,982.65,99.15,
169,981.7,99.2,
170,981.15,99.35,
171,981.35,99.6,
172,981.85,99.7,
173,982.4,99.7,
174,983.35,99.75,
175,984,99.85,
176,984.8,99.9,
177,985.25,99.9,
178,985.35,99.85,
179,985.15,99.55,
180,984.45,98.95,
181,983.4,97.25,
182,982.5,90.75,
183,981.8,86.6,
184,981.45,87.3,
185,981.6,89.75,
186,982,95.55,
187,982.5,97.35,
188,983.7,97.75,
189,984.3,98.1,
190,984.65,98.5,
191,984.8,99,
192,984.35,99.15,
193,983.85,99.35,
194,983.2,99.4,
195,983.05,99.4,
196,982.85,99.5,
197,983.05,99.4,
198,983.35,99.4,
199,983.85,99.25,
200,984.65,98.85,
201,985.1,93.4,
202,985.25,90.55,
203,984.8,90.2,
204,983.6,88.5,
205,982.1,84.05,
206,980.7,76.15,
207,979.95,72,
208,979.6,75.15,
209,980.35,85.7,
210,980.9,90.45,
211,981.15,92,
212,981.45,93.4,
213,982.55,94.55,
214,983.25,93.4,
215,983.3,94.2,
216,982.7,96.75,
217,982.3,97.35,
218,982.1,97.25,
219,982,96.85,
220,981.95,96.3,
221,982,96.4,
222,982.9,97.35,
223,983.85,97.75,
224,984.95,98.3,
225,985.3,98,
226,984.9,93.65,
227,984.4,87.85,
228,983.3,82.7,
229,981.9,80.1,
230,980.75,71.4,
231,979.85,69.55,
232,979.6,71.7,
233,979.7,77,
234,979.85,84.5,
235,979.85,86.95,
236,979.8,90.7,
237,980.4,89.95,
238,981.2,89.9,
239,981.75,94.35,
240,981.25,95.95,
241,980.75,96.5,
242,980.45,96.9,
243,980.65,97.3,
244,980.65,97.6,
245,981.1,97.85,
246,981.6,98.15,
247,982.15,98.8,
248,982.7,99,
249,982.95,97.9,
250,983.05,95.6,
251,983.1,92.25,
252,982.4,88.05,
253,981.25,82.6,
254,980.2,76.35,
255,979.15,74.5,
256,978.5,74.05,
257,978.4,76.25,
258,978.6,81.85,
259,979.25,88.05,
260,979.95,90.85,
261,980.4,91.8,
262,981.05,93.1,
263,981.25,94.6,
264,981,95.95,
265,980.6,96.9,
266,980.2,97.45,
267,980.1,97.8,
268,980.15,98.25,
269,980.2,98.5,
270,980.85,98.65,
271,981.45,98.5,
272,982.1,97,
273,982.55,94.35,
274,982.65,91.8,
275,982.15,86.95,
276,981.05,84.5,
277,979.75,78.95,
278,978.7,74.55,
279,977.95,68.85,
280,977.5,66.6,
281,977.8,66.5,
282,978.15,73.6,
283,978.7,79.8,
284,979.5,84.4,
285,980.25,86.05,
286,980.9,93.15,
287,981.2,97.65,
288,981.15,98.85,
289,980.8,99.35,
290,980.65,99.55,
291,980.85,99.75,
292,980.95,99.85,
293,981.65,99.9,
294,982.35,99.9,
295,982.65,100,
296,983.2,99.65,
297,983.8,97.25,
298,983.85,92.7,
