HOURLY LOAD FORECAST 2018,,,,,
MONTHS,DAYS,HOURS,TEMPERATURE,HUMIDITY,HISTORIC LOAD(MW)
1,1,1,22,68.2,8.4
1,1,2,21.66,67.3,8.3
1,1,3,21.18,67.8,8.3
1,1,4,19.77,67.15,7.6
1,1,5,19.45,68.8,7.6
1,1,6,19.19,58.75,7.6
1,1,7,18.88,53.5,6.8
1,1,8,19.71,48.3,6.7
1,1,9,21.77,42.16,6.9
1,1,10,24.31,35.9,7.1
1,1,11,26.38,35.5,7.4
1,1,12,28.21,33.3,7.7
1,1,13,30.65,28.05,7.7
1,1,14,32.84,25.95,7.9
1,1,15,33.04,23,7.9
1,1,16,33.32,23.65,8
1,1,17,32.25,27.11,8.1
1,1,18,30.77,27.12,9.3
1,1,19,26.88,32.95,11.1
1,1,20,25.24,39.65,11.4
1,1,21,25.34,41.6,10.6
1,1,22,24.96,39.65,10.2
1,1,23,24.28,48.25,9
1,1,24,22.66,50.2,8.7
1,2,1,22.08,68.5,8.4
1,2,2,21.5,67.4,8.2
1,2,3,20.77,67.91,8.2
1,2,4,19.3,67.15,8.2
1,2,5,18.93,68.42,8.2
1,2,6,19.16,59.75,8
1,2,7,20.07,53.3,7.4
1,2,8,20.64,47.2,7.9
1,2,9,22.65,42.15,8.1
1,2,10,24.16,35.8,8
1,2,11,26.47,31.3,8.3
1,2,12,28.71,31.15,8.4
1,2,13,30.42,29.05,8.5
1,2,14,31.88,25.95,8.7
1,2,15,32.76,22.8,8.8
1,2,16,32.47,23.65,8.7
1,2,17,31.9,26.6,9.2
1,2,18,30.45,28.5,11.2
1,2,19,27.66,34.95,11.6
1,2,20,25.76,39.65,11.6
1,2,21,25.41,41.5,10.1
1,2,22,25.08,41.6,9.3
1,2,23,24.19,47.25,8.9
1,2,24,23.75,49.2,8.6
1,3,1,23.11,64.5,8.6
1,3,2,22.66,67,8.4
1,3,3,21.83,67.81,8.2
1,3,4,21.34,67.2,8.2
1,3,5,21.13,68.42,8.3
1,3,6,20.51,60.1,8.4
1,3,7,19.93,52.9,8.2
1,3,8,20.74,48.4,8
1,3,9,22.11,43,8.3
1,3,10,23.93,36,8.4
1,3,11,26.66,31.2,8.5
1,3,12,27.35,31.4,8.6
1,3,13,29.44,30.1,8.5
1,3,14,30.41,25.85,8.6
1,3,15,31.34,23.5,8.3
1,3,16,31.62,24.1,8.5
1,3,17,30.85,25.6,8.5
1,3,18,29.58,27.2,9.2
1,3,19,26.83,34.2,11.3
1,3,20,25.04,40.2,11.5
1,3,21,24.93,42.4,11.3
1,3,22,24.48,41.6,10.2
1,3,23,25.52,48.25,9.6
1,3,24,23.41,49.3,9.3
2,1,1,25.42,64.95,9.7
2,1,2,25.21,65.05,9.4
2,1,3,24.61,67.85,9.2
2,1,4,23.94,73.6,9.2
2,1,5,23.92,80.9,9.5
2,1,6,23.38,83.4,10.3
2,1,7,23.97,88.65,8.6
2,1,8,24.69,89.3,9
2,1,9,26.04,86.6,8.7
2,1,10,27.65,80.2,9.12
2,1,11,29.8,73.25,9.1
2,1,12,31.17,63.8,9.3
2,1,13,32.53,55.8,9.8
2,1,14,33.95,49.5,10.1
2,1,15,34.47,45.8,10
2,1,16,35.41,41.95,9.9
2,1,17,34.72,41.6,10
2,1,18,34,45.4,10.5
2,1,19,32.33,51.95,12.4
2,1,20,30.56,55.85,12.8
2,1,21,29.45,59.1,12.2
2,1,22,28.89,61.75,11.4
2,1,23,28.17,63.6,10.6
2,1,24,27.56,65.6,10.9
2,2,1,26.25,68.2,10.2
2,2,2,25.57,66.4,9.7
2,2,3,25,68.85,9.6
2,2,4,25.03,72.4,9.5
2,2,5,24.67,82.4,10
2,2,6,24.76,83.4,10.4
2,2,7,24.91,89.1,9.1
2,2,8,25.83,89.5,9.4
2,2,9,28.29,87,9.1
2,2,10,29.98,84.2,9.4
2,2,11,30.35,70.25,9.6
2,2,12,32.31,63.8,9.8
2,2,13,32.76,56.8,9.4
2,2,14,33.36,50.5,9.9
2,2,15,33.42,45.8,10
2,2,16,33.86,42.95,10.1
2,2,17,33.26,41.6,10.2
2,2,18,32,46.4,10.4
2,2,19,30.57,52.1,12.4
2,2,20,29.45,56.95,12.4
2,2,21,28.47,64.1,12.8
2,2,22,27.74,64.9,12.2
2,2,23,27.28,70.2,11.7
2,2,24,27.25,70.39,11
2,3,1,27.28,71.2,9.9
2,3,2,27.25,72.1,9.8
2,3,3,25.94,72.4,9.7
2,3,4,25.18,72.4,9.8
2,3,5,24.56,82.4,9.9
2,3,6,24.45,83.4,9.1
2,3,7,24.46,90.1,8.8
2,3,8,24.84,90.2,8.4
2,3,9,25.84,89,8.8
2,3,10,27.81,86.2,9
2,3,11,29.09,71.25,9.1
2,3,12,29.84,63.9,9.4
2,3,13,30.51,57.8,9.6
2,3,14,32.99,50.2,9.5
2,3,15,33.55,45.8,9.3
2,3,16,33.8,42.95,9.4
2,3,17,33.79,42.6,9.4
2,3,18,33.5,47.4,9.6
2,3,19,33.03,56.2,12.2
2,3,20,30.57,60.2,13
2,3,21,29.62,66.2,13
2,3,22,28.93,68.8,12.5
2,3,23,28.26,74.4,11.9
2,3,24,27.98,75.2,11.4
3,1,1,27.27,70.7,9.9
3,1,2,26.65,72.35,9.8
3,1,3,25.67,77.65,9.8
3,1,4,24.75,85.4,9.8
3,1,5,24.06,89.85,9.5
3,1,6,23.75,91.3,9.3
3,1,7,23.64,91.7,8.8
3,1,8,24.21,91.6,8.7
3,1,9,25.79,87.65,9.1
3,1,10,28.33,77.3,9.5
3,1,11,30.19,68.35,10.5
3,1,12,31.46,62.35,9.4
3,1,13,32.78,58,9.5
3,1,14,33.81,54.6,9.6
3,1,15,34.5,52.85,10.1
3,1,16,34.43,50.95,10.8
3,1,17,30.81,54.6,10.2
3,1,18,28.09,61.05,11.5
3,1,19,27.29,62.1,12.6
3,1,20,25.08,68.45,13.1
3,1,21,23.28,81.8,12.8
3,1,22,23.07,79.1,11.3
3,1,23,22.55,81.8,10.8
3,1,24,22.09,84.5,9.8
3,2,1,22,85.4,9.5
3,2,2,21.87,86.4,9.3
3,2,3,21.38,87.1,9.2
3,2,4,21.16,89.4,9.2
3,2,5,20.93,91.2,9.6
3,2,6,20.85,91.55,10.2
3,2,7,20.54,92.6,8.9
3,2,8,21.44,93.3,8.2
3,2,9,24.39,87.3,8.7
3,2,10,26.8,74.7,9.7
3,2,11,29.2,67.35,9.3
3,2,12,31.06,59.55,9.8
3,2,13,31.95,54.6,9.9
3,2,14,32.51,52.8,10.3
3,2,15,33.17,51.2,10.5
3,2,16,32.84,50.4,10.6
3,2,17,32.83,49.4,10.3
3,2,18,32.69,56.1,10.4
3,2,19,31.12,62.2,12.7
3,2,20,29.64,66.4,13.1
3,2,21,28.66,69.1,13.2
3,2,22,27.97,72.1,11.9
3,2,23,27.19,74.5,11.4
3,2,24,26.58,76.7,10.8
3,3,1,26.02,79.2,9.5
3,3,2,24.79,84.4,9.1
3,3,3,23.6,89.1,9.1
3,3,4,22.96,88.4,9.1
3,3,5,22.92,92.2,9.1
3,3,6,23.1,91.6,9.2
3,3,7,22.96,93.8,8.2
3,3,8,23.61,94.3,8.1
3,3,9,25.71,90.3,8.6
3,3,10,27.75,72.7,8.9
3,3,11,29.82,67,9.2
3,3,12,31.92,58.55,9.3
3,3,13,33.02,53.6,9.5
3,3,14,33.83,52.2,10
3,3,15,34.67,50.9,9.5
3,3,16,35.66,49.2,9.5
3,3,17,35.45,48.7,9.4
3,3,18,34.53,56.1,8.9
3,3,19,32.85,63.4,12.4
3,3,20,30.68,68.45,12.9
3,3,21,28.77,78.4,13.1
3,3,22,28.07,78.4,12.6
3,3,23,27.36,79.8,11.3
3,3,24,26.87,51.2,9.5
