iter	RMSE
0	229.0690618
1	220.6291667
2	213.0716069
3	206.5433618
4	200.5786862
5	195.4135397
6	190.6566485
7	185.7494415
8	181.2296398
9	177.5286114
10	173.5731327
11	170.2944008
12	167.0682355
13	164.298457
14	161.3561629
15	158.8614861
16	156.5686735
17	154.5661719
18	152.5253827
19	150.715052
20	149.1111142
21	147.5270978
22	146.3310317
23	144.8027311
24	143.6016259
25	142.49437
26	141.3863531
27	140.1759109
28	139.2299597
29	138.0245621
30	137.0647337
31	136.1498057
32	135.4345942
33	134.7228704
34	133.9420037
35	133.2235459
36	132.4099305
37	131.7114995
38	131.0564137
39	130.5093307
40	129.8546392
41	129.2930779
42	128.731999
43	128.149499
44	127.5609363
45	127.0032855
46	126.4291294
47	126.0157847
48	125.6029189
49	125.1796126
50	124.727645
51	124.2910532
52	123.8548065
53	123.5025242
54	123.2003382
55	122.9490756
56	122.6427272
57	122.1362766
58	121.7366127
59	121.4148271
60	121.1482654
61	120.813654
62	120.5104186
63	120.2696746
64	119.935048
65	119.7245021
66	119.2698447
67	118.9987305
68	118.8090129
69	118.5927586
70	118.3542903
71	118.1813646
72	117.8427892
73	117.613528
74	117.3112429
75	117.1369429
76	116.8986702
77	115.8813755
78	115.6335515
79	115.442932
80	115.2746676
81	115.0767449
82	114.7466377
83	114.5936879
84	114.4716394
85	114.2854134
86	113.4244407
87	113.3047204
88	113.1930096
89	112.9949916
90	112.8055323
91	112.4375714
92	112.2640132
93	111.4673671
94	111.2481824
95	111.0306402
96	110.8090728
97	110.5040416
98	110.2943117
99	110.1839248
100	110.0553719
101	109.918559
102	109.7392764
103	109.5995349
104	109.446889
105	109.2254483
106	109.1118056
107	109.0323094
108	108.2900335
109	108.0811918
110	107.7195239
111	107.6268194
112	107.0596587
113	106.9367638
114	106.7619711
115	106.570449
116	106.4862387
117	106.2628064
118	106.1617491
119	105.5492923
120	105.4541517
121	104.9889143
122	104.9021139
123	104.7814026
124	104.655849
125	104.4994713
126	104.421879
127	104.3543484
128	104.2359784
129	104.1541246
130	104.0755388
131	103.967593
132	103.8916866
133	103.8351529
134	103.7199318
135	103.5774502
136	103.02909
137	102.9161334
138	102.6109233
139	102.5149805
140	102.0470055
141	101.9100775
142	101.8162437
143	101.2937866
144	101.189037
145	101.1071175
146	101.0360414
147	100.9145715
148	100.8421245
149	100.6927702
150	100.6177423
151	100.4962501
152	100.4404774
153	100.3755105
154	99.87498353
155	99.53227646
156	99.07026689
157	98.99773767
158	98.93043461
159	98.80987829
160	98.71168715
161	98.66946212
162	98.2256073
163	98.14949908
164	98.07281008
165	97.94542998
166	97.48486391
167	97.42159661
168	97.34815941
169	97.27557145
170	97.21874095
171	97.14989403
172	96.73001812
173	96.68330016
174	96.60735586
175	96.55937949
176	96.51265462
177	96.43515479
178	96.37395206
179	96.30578558
180	95.88776128
181	95.7752932
182	95.66997411
183	95.61963775
184	95.56389934
185	95.51095107
186	95.13994299
187	95.08471913
188	95.04683591
189	95.00659056
190	94.93562693
191	94.8918249
192	94.67335849
193	94.62022602
194	94.5461762
195	94.50663203
196	94.44841984
197	94.37476498
198	94.12829507
199	93.74104579
200	93.64587591
201	93.45478645
202	93.39873533
203	93.34308959
204	93.29470085
205	93.26001752
206	93.22800093
207	93.10155038
208	93.03863819
209	92.77778094
210	92.67101291
211	92.62372345
212	92.55509237
213	92.27488519
214	92.1832632
215	92.12233927
216	92.06340118
217	92.03029588
218	91.86492648
219	91.79159068
220	91.65882482
221	91.59374253
222	91.51780723
223	91.44802897
224	91.38691384
225	91.28010842
226	91.18374842
227	91.10955477
228	90.96039865
229	90.88520589
230	90.83466265
231	90.77978698
232	90.71395201
233	90.64790327
234	90.58723839
235	90.50663734
236	90.43897245
237	90.4108533
238	90.35850732
239	90.0816781
240	90.00668599
241	89.91270429
242	89.85547622
243	89.82281225
244	89.77342901
245	89.69130192
246	89.63452016
247	89.59595248
248	89.555935
249	89.50483544
250	89.4616137
251	89.19691113
252	89.08204162
253	88.99305142
254	88.942529
255	88.798138
256	88.75616224
257	88.69729171
258	88.65148336
259	88.60191352
260	88.52599389
261	88.41364802
262	88.29617772
263	88.22445609
264	88.17181653
265	88.11813235
266	87.83264078
267	87.77361045
268	87.74081645
269	87.67766204
270	87.61633158
271	87.34659927
272	87.30389628
273	87.20451415
274	86.92741271
275	86.86736426
276	86.61523976
277	86.36615079
278	86.3182002
279	86.27191501
280	86.16610806
281	86.14466187
282	86.10997522
283	86.05450961
284	85.97872501
285	85.92730181
286	85.6872603
287	85.58707883
288	85.48633526
289	85.4427999
290	85.36573173
291	85.30396372
292	85.23257042
293	85.20077795
294	85.11305139
295	85.03977137
296	84.97806743
297	84.79456204
298	84.74683491
299	84.62299014
300	84.59025429
301	84.54143719
302	84.34235772
303	84.2787848
304	84.23362504
305	84.19587857
306	84.00281118
307	83.94430384
308	83.90240171
309	83.83907835
310	83.79533584
311	83.70280233
312	83.66805476
313	83.60717406
314	83.54694308
315	83.50850881
316	83.44345986
317	83.35784303
318	83.32533778
319	83.29233807
320	83.23418536
321	83.18963609
322	83.11194094
323	83.07044123
324	83.00942527
325	82.95870783
326	82.92526955
327	82.87412156
328	82.82005694
329	82.73312102
330	82.70015941
331	82.67221594
332	82.62229545
333	82.57399567
334	82.53502247
335	82.50169241
336	82.4601609
337	82.42802196
338	82.39419955
339	82.35327049
340	82.31945336
341	82.27490504
342	82.23224608
343	82.17685679
344	82.12283318
345	81.89997145
346	81.83919597
347	81.67944738
348	81.64493659
349	81.61990664
350	81.5899761
351	81.44603467
352	81.41128382
353	81.38218881
354	81.33737332
355	81.24943711
356	81.19191954
357	81.15622588
358	81.12196681
359	81.08844889
360	81.04047303
361	80.93882532
362	80.88613124
363	80.83614466
364	80.80633663
365	80.76912486
366	80.72925855
367	80.70800692
368	80.58013844
369	80.54816325
370	80.50853111
371	80.4684091
372	80.44249355
373	80.39371084
374	80.36927435
375	80.29623469
376	80.27307842
377	80.23865375
378	80.1979071
379	80.15508853
380	80.11186395
381	80.08379988
382	80.05837173
383	80.03358392
384	79.9882558
385	79.94740866
386	79.89326247
387	79.85135235
388	79.82442189
389	79.78658058
390	79.73837061
391	79.674485
392	79.63651473
393	79.6188494
394	79.58282272
395	79.54233065
396	79.5236424
397	79.48519145
398	79.44623036
399	79.40885253
400	79.39662034
401	79.36078262
402	79.2920972
403	79.25773583
404	79.04704377
405	79.01443223
406	78.98493881
407	78.94795264
408	78.82633238
409	78.79297085
410	78.75610628
411	78.72658485
412	78.69856902
413	78.6819771
414	78.52509793
415	78.51071868
416	78.47395109
417	78.43777971
418	78.41532573
419	78.38011075
420	78.329711
421	78.28464214
422	78.2629025
423	78.23292475
424	78.09247802
425	78.05408884
426	78.03733186
427	77.98845005
428	77.96721798
429	77.93483103
430	77.82566899
431	77.7785136
432	77.73825624
433	77.68052937
434	77.59248585
435	77.56919552
436	77.44640001
437	77.40578567
438	77.34289483
439	77.3224132
440	77.30127123
441	77.27682049
442	77.18795907
443	77.13829579
444	76.97828599
445	76.94212158
446	76.91674342
447	76.88704226
448	76.85863438
449	76.82997101
450	76.75957021
451	76.71442886
452	76.68099285
453	76.65766875
454	76.58190347
455	76.56123027
456	76.49180192
457	76.45880674
458	76.40995148
459	76.37856026
460	76.28495711
461	76.22371477
462	76.17751959
463	76.13923043
464	76.11171878
465	76.06060497
466	76.04387568
467	76.02581217
468	75.9859057
469	75.94792639
470	75.9282274
471	75.89793656
472	75.8792041
473	75.83715744
474	75.80454388
475	75.78264479
476	75.75723732
477	75.73501783
478	75.69758459
479	75.602601
480	75.5718885
481	75.53964188
482	75.5036472
483	75.46646809
484	75.44192343
485	75.42093842
486	75.34199638
487	75.31901856
488	75.19573234
489	75.16701274
490	75.1327308
491	75.09690787
492	75.05077097
493	75.01987605
494	74.91961257
495	74.89010624
496	74.86957723
497	74.83220479
498	74.77207579
499	74.75189937
500	74.72781198
501	74.56378965
502	74.54509351
503	74.50887983
504	74.45872989
505	74.42606045
506	74.36913463
507	74.32782905
508	74.29656477
509	74.28046076
510	74.23931446
511	74.21844111
512	74.18953521
513	74.15858568
514	74.14381705
515	74.12442387
516	74.1023314
517	74.07316055
518	74.04435579
519	74.01831053
520	73.99156861
521	73.97496368
522	73.9586513
523	73.91765153
524	73.89612234
525	73.87968502
526	73.84506226
527	73.82596183
528	73.78929004
529	73.77342346
530	73.62387427
531	73.6087494
532	73.57168162
533	73.52927738
534	73.50003558
535	73.48263336
536	73.42813804
537	73.39391475
538	73.3807333
539	73.34970168
540	73.32091412
541	73.28671457
542	73.23702392
543	73.19674302
544	73.16327992
545	73.14560158
546	73.11102063
547	73.08933968
548	72.96238353
549	72.93232785
550	72.9126121
551	72.88740944
552	72.86031386
553	72.82835417
554	72.81434178
555	72.78952421
556	72.76084576
557	72.72920045
558	72.69677167
559	72.6765792
560	72.65744644
561	72.63561236
562	72.6118365
563	72.58595757
564	72.55775676
565	72.52783481
566	72.5095645
567	72.47624028
568	72.45642702
569	72.42876953
570	72.40766562
571	72.39349476
572	72.36551104
573	72.34496416
574	72.2533191
575	72.22498486
576	72.20483145
577	72.17131378
578	72.14945218
579	72.123434
580	72.0513866
581	72.02832246
582	71.99547886
583	71.96904515
584	71.94601131
585	71.93218599
586	71.90026853
587	71.86720072
588	71.84148646
589	71.82260524
590	71.80452507
