iter	Passed	Remaining
0	3	3821
1	7	3936
2	12	4053
3	16	4025
4	22	4453
5	26	4348
6	30	4316
7	37	4703
8	44	4936
9	52	5157
10	59	5386
11	67	5552
12	74	5691
13	83	5845
14	90	5947
15	98	6050
16	106	6135
17	113	6192
18	122	6339
19	130	6381
20	138	6463
21	146	6497
22	153	6539
23	161	6566
24	169	6619
25	173	6490
26	176	6351
27	179	6217
28	182	6100
29	185	5984
30	188	5876
31	190	5777
32	193	5679
33	196	5585
34	199	5502
35	202	5420
36	205	5345
37	208	5273
38	211	5203
39	214	5136
40	218	5099
41	221	5045
42	224	4985
43	226	4927
44	229	4874
45	232	4826
46	235	4773
47	238	4726
48	241	4683
49	244	4636
50	246	4595
51	249	4555
52	252	4517
53	255	4482
54	258	4443
55	261	4406
56	264	4370
57	267	4338
58	269	4306
59	272	4275
60	275	4244
61	278	4217
62	281	4188
63	284	4160
64	287	4132
65	290	4107
66	293	4082
67	296	4057
68	298	4034
69	303	4033
70	307	4023
71	310	4002
72	313	3979
73	316	3958
74	319	3936
75	322	3918
76	325	3897
77	327	3875
78	330	3856
79	333	3836
80	341	3874
81	344	3861
82	348	3850
83	352	3841
84	355	3829
85	359	3819
86	363	3811
87	366	3801
88	370	3791
89	374	3782
90	377	3768
91	381	3761
92	383	3744
93	386	3726
94	389	3709
95	398	3756
96	402	3749
97	406	3738
98	408	3721
99	413	3724
100	416	3709
101	419	3693
102	422	3679
103	425	3664
104	428	3650
105	431	3638
106	434	3623
107	437	3610
108	440	3598
109	443	3585
110	445	3571
111	448	3558
112	451	3546
113	454	3535
114	457	3522
115	460	3509
116	463	3497
117	467	3494
118	471	3489
119	474	3477
120	476	3465
121	479	3453
122	482	3442
123	485	3431
124	488	3421
125	491	3410
126	494	3398
127	497	3388
128	500	3378
129	503	3368
130	506	3358
131	509	3348
132	512	3338
133	515	3328
134	517	3318
135	520	3308
136	523	3295
137	525	3285
138	528	3276
139	531	3265
140	535	3260
141	538	3250
142	540	3241
143	543	3232
144	546	3223
145	549	3215
146	552	3205
147	555	3197
148	558	3188
149	561	3179
150	564	3171
151	567	3163
152	569	3154
153	572	3146
154	575	3138
155	578	3130
156	581	3122
157	584	3113
158	587	3105
159	590	3097
160	593	3093
161	596	3085
162	599	3078
163	602	3070
164	605	3065
165	609	3060
166	612	3053
167	615	3046
168	618	3039
169	621	3032
170	623	3024
171	626	3017
172	629	3010
173	632	3003
174	635	2996
175	638	2988
176	641	2981
177	643	2973
178	646	2967
179	649	2959
180	652	2953
181	655	2946
