Pressure,Relative Humidity,Temperature
980.7,99.3,21.66
980.45,99.7,21.87
979.3,99.85,21.585
978.5,99.95,21.195
978.2,100,21.055
978.35,100,21.14
978.55,99.95,21.175
979.2,98.9,23.065
980.15,92.1,25.515
980.4,84.35,28.205
979.9,78.4,29.305
979.25,74.75,30.62
978.4,71.1,31.37
977.5,67.25,31.305
976.9,65.5,32.045
976.5,63.65,32.55
976.5,65.7,30.1
976.85,69.45,27.91
977.4,71.25,26.35
978.2,77.65,25.43
979.2,79.3,25.285
979.45,82.5,25.27
979.8,82.6,25.475
979.85,81.25,24.99
979.75,82.95,24.64
979.5,89.1,23.845
979.2,91.6,23.115
979,93.5,22.61
979.05,95.05,22.54
979.3,96.1,22.665
979.5,96.6,22.665
979.95,97.15,23.11
980.65,97,23.615
981.1,95.75,24.315
981,93.75,24.895
980.65,91.5,25.865
979.9,89.15,26.92
978.65,81.55,28.995
977.65,74.95,30.18
976.9,71.55,30.395
976.7,72.15,29.605
976.9,74.6,28.48
977.6,84.8,26.305
978.65,88.95,25.38
979.6,90.65,25.005
979.95,92.3,24.7
980.35,92.95,24.485
980.05,93.75,24.415
979.85,93.3,24.47
979.25,94.9,23.46
978.6,96.6,23.185
978.4,96.85,22.715
978.4,96.55,22.3
978.7,96.8,22.035
979.15,97.35,22.285
979.45,96.75,23.88
979.9,93.8,25.99
979.75,87.2,27.41
979.4,83.5,28.495
978.95,80.5,29.355
978.1,77.75,30.045
977.3,73.55,30.115
976.55,68.75,31.32
976.05,66.1,30.775
976.1,68.4,30.355
976.45,70.2,28.2
976.85,75.75,26.085
977.6,80.45,25.6
978.55,82.2,25.26
979.1,83.15,24.655
979.25,84.45,24.305
979.45,85.15,24.22
979.1,88.25,23.125
978.55,91.15,22.79
978.25,92.3,23.16
978,93.35,22.68
978.15,94.35,22.705
978.55,95.5,22.61
979.1,96.65,22.45
980,97.75,22.535
981,97.25,24.585
981.35,89.05,26.06
981.1,84.1,27.065
980.15,77.25,29.23
979.2,71,30.205
978.1,65.6,31.405
977,58.85,31.24
976.35,56.05,31.755
976.1,56.55,31.22
976.45,61.5,29.775
977.15,72.9,27.27
978.45,77.7,26.22
979.05,81.6,25.03
979.25,84.4,24.255
979.45,85.85,23.82
979.4,88.2,23.615
979.3,89.5,23.3
978.9,91.3,22.61
978.35,92.8,22.345
978.1,93.4,22.165
978.05,94,21.935
978.55,95.15,21.865
979.05,96.1,21.975
979.9,95.4,23.75
980.6,90.25,26.2
980.85,84.5,27.83
980.45,78.55,28.62
979.8,72.8,30.385
979,68.8,31.18
977.9,65.6,31.005
976.6,64.7,31.415
975.85,64.75,30.295
976.05,69,29.74
976.95,74.85,25.56
977.65,80.1,24.785
978.55,84.2,24.245
979.05,87.85,23.69
979.95,91.3,23.21
980,92.5,22.92
979.85,93.2,22.74
979.5,94,22.595
978.9,94.25,22.635
978.4,94.95,22.265
977.9,95.8,21.985
978.2,96.4,21.71
978.5,96.8,21.57
979.15,97.15,21.605
980.1,97.3,23.215
980.8,92.05,26.23
981,81.25,27.825
980.9,78.35,28.925
980.15,76,30.055
979.15,71.75,30.65
978,69.35,31.09
976.75,67.75,31.89
975.95,65.2,31.405
975.55,64.3,31.295
976,68.55,30.21
977.65,75.55,24.925
978.75,86.35,22.275
979.6,86.8,22.465
980.1,84.7,23.28
980.35,86.6,22.905
980.95,89.1,22.69
980.6,91.8,22.13
980.05,93.15,22.155
979.6,94.2,21.905
979.05,95.8,21.605
978.9,96.8,21.595
979,97.35,21.46
979.55,97.7,21.39
980.1,97,22.755
980.7,89.8,25.105
980.8,83.6,26.745
980.8,78,28.885
980.2,74.45,29.4
979.25,72.05,30.19
978.35,70.3,31.205
977.6,65.55,32.19
977.25,63.55,31.715
977.2,64.35,31.475
977.5,69.65,29.74
978.4,76.95,26.86
979.85,79.45,25.03
981.1,90.35,22.715
981.9,92.25,23.195
982.05,91.05,22.965
982.3,92.1,22.86
981.95,92.5,22.765
981.55,93.65,22.69
981.5,94.85,22.665
981.2,95.4,22.43
980.7,96.05,22.095
981.05,96.65,21.855
981.6,97.05,21.795
982,97.05,22.715
982.5,97.1,23.645
982.8,95.4,25.5
982.3,86.85,27.63
981.55,80.35,29.89
980.2,73.75,30.84
979.25,68.2,31.815
978.55,63.85,31.92
977.95,62.25,31.815
977.95,63.1,31.805
978.25,68.85,29.555
978.85,79.45,27.91
979.4,82.25,26.855
980.25,86.5,26.145
980.7,88.15,25.745
980.95,89.4,25.335
981,89.15,25.195
981,89.6,25.365
980.55,90.45,25.27
980.2,90.85,24.835
980.05,93.85,24
980,95.3,23.905
980.3,95.95,23.65
980.65,96.35,23.46
981.1,94.85,25.11
981.5,88.15,26.38
981.7,86.6,26.865
981.25,84.1,28.545
980.55,81,29.72
979.6,76.75,29.915
978.6,72.95,31.115
977.8,69.95,31.295
977.25,66.95,31.765
976.9,68.85,31.015
977.3,71,30.215
978.2,82.8,24.615
979.35,87.95,23.195
979.3,90.95,23.6
979.85,92.45,23.485
979.9,92.7,23.45
979.75,93.4,23.29
979.65,94.15,22.92
979.35,95.2,22.57
978.9,96,22.61
978.6,95.75,23.185
978.6,95.9,23.435
978.9,96.6,23.295
979.3,97.2,23.435
979.75,97.55,23.845
980.45,97.15,25.02
980.8,94.3,26.45
980.5,87.3,28.035
979.85,82.5,29.075
979.05,78.9,29.195
978.2,75.7,30.595
977.25,71.15,31.435
976.65,68.55,31.335
976.8,79.35,25.56
976.95,87.95,25.73
977.75,90.15,25.2
978.5,90.1,24.615
979.3,90.75,24.945
979.8,91.25,24.565
979.9,92.65,24.11
980.1,93.45,24.035
979.85,94.05,23.82
979.45,94.85,23.22
979.05,95.55,22.81
978.65,96.15,22.945
978.3,96.6,22.86
978.6,97.3,22.655
979.15,97.9,23.05
979.75,98.05,23.75
980.35,97.2,25.65
980.45,89.75,27.74
980.25,81.3,28.89
979.4,76.45,29.6
978.35,70.35,30.9
977.4,66.75,30.81
976.5,64.4,31.295
975.75,61.35,31.19
975.5,60.85,31.535
975.8,64.95,29.57
976.3,75.85,27.175
976.8,81.3,26.435
977.3,84.75,25.85
977.95,87,25.525
978.3,87.45,25.175
978.75,88.1,24.725
978.55,89.85,24.895
978.3,93.1,24.15
977.6,94.35,23.56
977.4,95.35,23.265
977.65,96.25,23.175
977.95,97.1,23.03
978.5,97.85,22.99
979.25,98.25,23.41
980.05,97.55,25.53
980.2,92.15,26.87
979.95,84.55,28.93
979.55,81.1,29.415
978.85,75.6,30.5
977.75,70.85,31.285
976.85,66.3,31.87
976.35,63.95,31
976.25,62.45,31.005
976.45,71.15,28.06
976.95,79.2,26.485
977.7,83.95,25.695
978.35,86.15,25.365
979,87.65,25.255
979.4,88.4,25.15
979.6,89.75,24.53
979.45,91.7,24.605
978.75,92.7,24.05
978,94.2,23.595
977.5,95.35,23.4
977.65,96.25,23.245
977.9,97.05,22.955
978.45,97.5,22.715
979.15,97,24.16
979.7,90.65,26.955
979.8,83.2,29.09
979.5,77.95,30.245
978.7,72.6,31.55
977.85,67,32.92
976.95,62.1,32.115
975.95,53,33.55
975.4,53.35,33.235
975.1,52.85,32.73
975.25,55.4,31.375
975.75,68.15,28.42
976.55,76.6,27.03
977.3,81.15,26.355
978.15,82.3,26.685
978.6,84.25,26.125
978.85,88,25.6
978.6,90.55,25.355
978.1,92.6,24.495
977.75,94,24.205
977.5,94.9,24.28
977.6,95.55,24.22
978.05,95.85,24.185
978.4,96.2,24.145
979.05,96.4,24.365
979.7,96.25,24.64
980.1,96.05,24.545
980.15,95.25,26
979.6,87.15,28.68
978.45,76.7,30.61
977.25,70.15,31.4
976.45,66.8,31.83
975.9,64.55,32.02
975.7,64.3,31.445
976.2,64.55,30.435
976.85,75.4,27.655
977.35,81.6,26.93
978.3,82.75,27.005
979.2,83.3,26.465
979.3,83.8,26.28
979.35,85.05,25.83
979.1,88.85,24.86
978.85,90.2,24.015
978.5,93,23.305
978.15,94.45,22.99
978.25,95.45,22.55
978.5,96.1,22.56
978.9,96.55,22.99
979.65,97.2,23.085
980.6,97.35,24.04
980.9,96,25.365
980.6,90.05,26.375
980,86.2,27.445
979,83.3,29.015
977.95,79.2,28.95
977.3,75.8,30.655
976.4,70.65,31.005
976.05,70.65,30.56
976.6,71.1,29.705
977.5,80.7,27.225
978.2,86.6,26.315
978.85,87.05,25.815
979.3,88.65,25.6
979.5,89.9,25.285
979.7,90.35,25.38
979.8,90.8,24.63
979.7,93.25,24.145
979.15,94.45,23.725
978.9,95.25,23.385
979,95.75,22.98
979.6,96.35,22.75
980.15,97.25,22.465
980.75,97.55,23.825
981.35,92.05,26.78
981.6,84.4,28.245
981.35,81.15,28.85
980.7,77.15,30.385
979.9,72.2,30.395
979.15,68.05,31.525
978.4,62.1,33.025
977.6,60.05,32.1
977.3,64.7,31.005
977.55,71.45,28.905
978.15,75.05,27.48
978.9,77.2,26.365
980.1,79.9,25.55
980.85,83.05,25.38
981.05,85.95,24.75
981.05,86.5,24.205
980.9,86.8,24.23
980.5,88.25,24.22
979.95,91.85,24.47
979.85,93.65,24.22
980.05,94.75,24.05
980.55,95.4,24.015
981.05,95.95,23.66
981.7,96.45,24.12
982.05,93.85,26.4
982,87.05,27.165
981.7,81.6,28.21
981,77.25,29.62
980.25,71.9,30.825
979.25,69.8,30.41
978.2,69.85,31.32
977.4,68.65,31.015
977.2,70.5,30.14
977.85,75.15,28.285
978.8,77.6,26.71
979.65,81.95,25.425
980.8,87.05,24.69
981.15,87.8,24.45
981.1,89.35,24.025
980.75,89.9,24.185
980.7,92.15,23.4
979.95,92.6,23.355
979.3,93.15,23.1
979.25,94.3,22.75
979.1,95.1,22.965
979.8,95.9,23.05
980.45,96.6,23.23
981.05,96.95,23.835
981.9,96.95,23.71
982.2,96.7,24.535
982.1,93.65,26.28
981.25,86.65,28.04
980.3,82.3,28.92
979.2,76.75,30.045
978.15,72.8,30.9
977.15,69,30.535
977,68.75,30.265
977.2,71.85,29.195
978,79.7,27.48
978.75,83.8,26.67
979.55,85.4,25.965
980.3,87.2,25.735
980.5,88.3,25.225
980.1,90.5,24.595
979.9,92.45,24.35
979.65,94.4,24.255
979.05,95.6,23.915
978.6,96.35,23.595
978.55,96.85,23.57
979,97.55,23.485
979.5,98.05,23.605
980.4,98.45,23.76
981.05,98.35,24.57
981.3,97.15,25.755
980.85,90.35,27.565
980.2,83.35,28.78
979,78.1,30.22
978.1,75.5,30.195
977.1,71.25,30.81
976.2,68.4,30.915
976.2,69.65,29.805
976.7,84,27.09
977.85,88.1,26.245
979,85.35,25.805
979.3,85.95,24.77
980.1,89.3,24.555
980.4,88.15,24.47
980.7,86.4,24.22
980.75,86.2,23.885
980.5,87.15,23.27
979.35,91.1,22.835
979.6,94.1,22.695
979.35,94.3,22.765
979.6,93.95,22.68
979.95,94.2,22.715
980.1,94,23.115
980.8,87.95,25.485
981.1,80.85,27.135
980.95,73.7,29.55
980.6,70.05,29.965
979.9,68.95,30.925
978.9,67.25,32.09
978.05,65.3,31.575
977.75,68.05,29.41
979,86.65,19.52
978.4,95.05,21.605
978.75,95.55,22.445
979.55,94.15,22.73
980.9,89.1,23.12
981.35,88.3,22.905
981.65,89.9,22.68
981.6,92.2,21.965
981.4,92.2,21.935
980.8,91.7,21.915
980.3,91.5,21.725
980,92.55,22.835
979.9,92.95,22.48
980.15,94,22.275
980.55,94.85,22.225
981.1,94.6,23.825
981.55,90.3,26.415
981.65,84.8,28.075
981.4,81,28.46
980.95,78.35,29.79
980.3,75.3,30.76
979.45,71.75,30.715
978.6,71.7,30.535
978,69.6,31.255
977.8,67.55,31.015
978.6,87.5,24.99
979.25,90.65,25.125
980.15,91.5,25.065
980.95,92.45,25.03
981.85,93.65,25.065
982.15,94.5,24.74
981.9,94.3,24.28
981.4,94.25,23.955
980.7,94.3,23.82
980,95.2,23.32
979.55,96.15,23.355
979.3,96.75,23.28
979.35,97.35,22.82
979.8,97.95,22.715
980.5,98.7,23.15
981.2,98.6,24.47
981.7,97.4,25.37
981.55,93.35,26.44
980.8,87.1,27.99
979.85,82.9,29.19
978.65,76.6,29.68
