Date,Time,"Pressure (S-BPB 10851059:10453533-1), mbar, EORIC AWS Pressure","Rain (S-RGB 10851059:10456250-1), mm, EORIC AWS Rain","RH (S-THB 10851059:10441607-2), %, EORIC AWS RH","Scaled Series (S-THB 10851059:10441607-1), units, EORIC AWS Temperature"
01/01/18,00:00:00,981.1,0,64.8,22.08
01/01/18,00:30:00,980.9,0,64.6,21.91
01/01/18,01:00:00,980.8,0,65.4,21.8
01/01/18,01:30:00,980.6,0,68.9,21.51
01/01/18,02:00:00,980.3,0,71.1,21.56
01/01/18,02:30:00,979.9,0,66.9,20.79
01/01/18,03:00:00,979.5,0,67.1,20.1
01/01/18,03:30:00,979.2,0,68.3,19.44
01/01/18,04:00:00,979.2,0,68.8,19.63
01/01/18,04:30:00,979.2,0,64.9,19.27
01/01/18,05:00:00,979.4,0,64.2,19.17
01/01/18,05:30:00,979.5,0,62.4,19.2
01/01/18,06:00:00,979.7,0,62,19.2
01/01/18,06:30:00,979.9,0,62.5,18.56
01/01/18,07:00:00,980.2,0,63.5,19.13
01/01/18,07:30:00,980.5,0,61.6,20.29
01/01/18,08:00:00,980.7,0,57.5,21.1
01/01/18,08:30:00,981,0,51.3,22.44
01/01/18,09:00:00,981.2,0,41.6,23.45
01/01/18,09:30:00,981.1,0,36.1,25.16
01/01/18,10:00:00,981.1,0,32.2,26.11
01/01/18,10:30:00,980.9,0,31.3,26.65
01/01/18,11:00:00,980.7,0,32.6,27.65
01/01/18,11:30:00,980.1,0,31.8,28.77
01/01/18,12:00:00,979.6,0,30.1,30.29
01/01/18,12:30:00,979.1,0,27.5,31
01/01/18,13:00:00,978.5,0,24.7,32.33
01/01/18,13:30:00,977.9,0,24.2,33.34
01/01/18,14:00:00,977.4,0,24.2,33.08
01/01/18,14:30:00,976.9,0,24,33
01/01/18,15:00:00,976.5,0,23.9,33.47
01/01/18,15:30:00,976.4,0,24.4,33.16
01/01/18,16:00:00,976.4,0,26.9,32.43
01/01/18,16:30:00,976.5,0,27.1,32.07
01/01/18,17:00:00,976.7,0,27.1,31.51
01/01/18,17:30:00,976.9,0,28.6,30.02
01/01/18,18:00:00,977.3,0,31.7,28.1
01/01/18,18:30:00,977.6,0,35.5,25.65
01/01/18,19:00:00,978,0,41.6,25.36
01/01/18,19:30:00,978.6,0,44.7,25.11
01/01/18,20:00:00,979.1,0,46.3,25.09
01/01/18,20:30:00,979.6,0,46.7,25.62
01/01/18,21:00:00,979.9,0,48.1,25.19
01/01/18,21:30:00,980,0,51.1,24.73
01/01/18,22:00:00,980.2,0,55.2,23.83
01/01/18,22:30:00,980.2,0,57.2,24.07
01/01/18,23:00:00,980.2,0,60.9,22.66
01/01/18,23:30:00,980.2,0,64.7,22.66
01/02/18,00:00:00,980.1,0,67,22.44
01/02/18,00:30:00,980.1,0,69.9,21.72
01/02/18,01:00:00,980.1,0,69.6,21.65
01/02/18,01:30:00,979.9,0,66.4,21.34
01/02/18,02:00:00,979.7,0,65.1,21.08
01/02/18,02:30:00,979.5,0,64.8,20.46
01/02/18,03:00:00,979.5,0,66.2,19.56
